trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
26,False,"{'a': 0.8, 'e': 0.9878566566949545}",25,0,-30.108077291677304,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.8, 'e': 0.986906672720914}",20,0,-141.3589837968077,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
28,False,"{'a': 0.8, 'e': 0.9859211602132415}",20,0,-72.0865233534919,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
29,False,"{'a': 0.8, 'e': 0.9849001546502806}",25,0,-134.3402493901807,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
30,False,"{'a': 0.8, 'e': 0.9838436927881214}",30,9,-94.59684043581235,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 2}",1
31,False,"{'a': 0.8, 'e': 0.9827518126592768}",25,0,-71.88502904856122,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
32,False,"{'a': 0.8, 'e': 0.9816245535713135}",20,0,-126.43084796015,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.8, 'e': 0.9804619561054371}",20,0,-138.53979842866204,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
34,False,"{'a': 0.8, 'e': 0.9792640621150305}",30,0,-145.64237404649904,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
35,False,"{'a': 0.8, 'e': 0.9780309147241483}",25,0,-56.137741376198086,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
36,False,"{'a': 0.8, 'e': 0.9767625583259631}",25,11,-83.1628322537301,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
37,False,"{'a': 0.8, 'e': 0.9754590385811684}",35,0,-248.2316603352022,"{0: 19, 1: 4, 2: 7, 3: 1, 4: 4}",0
38,False,"{'a': 0.8, 'e': 0.9741204024163344}",25,0,-98.06468566603314,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
39,False,"{'a': 0.8, 'e': 0.9727466980222181}",20,0,-128.8200559297397,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
40,False,"{'a': 0.8, 'e': 0.9713379748520297}",20,0,-102.72925294694659,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
41,False,"{'a': 0.8, 'e': 0.9698942836196508}",20,0,-126.5221405731948,"{0: 7, 1: 6, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.8, 'e': 0.9684156762978101}",25,0,-111.50285007513479,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
43,False,"{'a': 0.8, 'e': 0.9669022061162116}",20,0,-87.93164072354398,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
44,False,"{'a': 0.8, 'e': 0.965353927559618}",30,0,-121.76393081699646,"{0: 21, 1: 3, 2: 1, 3: 4, 4: 1}",0
45,False,"{'a': 0.8, 'e': 0.9637708963658905}",25,0,-106.75838838476417,"{0: 12, 1: 2, 2: 11, 3: 0, 4: 0}",0
46,False,"{'a': 0.8, 'e': 0.9621531695239809}",25,0,-53.299926329262355,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.8, 'e': 0.9605008052718809}",20,0,-158.84071290147904,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
48,False,"{'a': 0.8, 'e': 0.9588138630945251}",25,0,-39.259027226149094,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.9570924037216496}",30,0,-118.85388626550778,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
50,False,"{'a': 0.8, 'e': 0.955336489125606}",25,0,-115.32629428767751,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
51,False,"{'a': 0.8, 'e': 0.9535461825191301}",25,1,-62.8682499522038,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 0}",1
