trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.8, 'e': 0.7930479281016595}",20,0,-64.0733835284432,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
132,False,"{'a': 0.8, 'e': 0.7899922314973651}",20,0,-28.396599608367158,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
133,False,"{'a': 0.8, 'e': 0.7869167851284287}",30,3,-91.12932522507917,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 1}",1
134,False,"{'a': 0.8, 'e': 0.7838216658808492}",20,4,-3.5549913460191345,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.8, 'e': 0.7807069511324468}",20,0,7.067367131287624,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.8, 'e': 0.7775727187509279}",25,0,-102.02226130712333,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
137,False,"{'a': 0.8, 'e': 0.7744190470919388}",35,0,-95.05391877050303,"{0: 26, 1: 1, 2: 6, 3: 1, 4: 1}",0
138,False,"{'a': 0.8, 'e': 0.7712460149971065}",30,0,-126.28801963360465,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
139,False,"{'a': 0.8, 'e': 0.7680537017920686}",20,11,-20.876825352726335,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.7648421872844884}",20,0,-79.87981344277239,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
141,False,"{'a': 0.8, 'e': 0.7616115517620617}",35,23,-34.08301284221687,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.8, 'e': 0.7583618759905082}",25,0,-46.263705001935286,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
143,False,"{'a': 0.8, 'e': 0.7550932412115529}",20,0,4.893459646144084,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.8, 'e': 0.751805729140895}",20,0,-59.91899801648304,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
145,False,"{'a': 0.8, 'e': 0.7484994219661651}",20,0,-182.86099418065598,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
146,False,"{'a': 0.8, 'e': 0.7451744023448704}",20,0,-29.73358269157049,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
147,False,"{'a': 0.8, 'e': 0.7418307534023283}",25,0,-141.52372956989828,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
148,False,"{'a': 0.8, 'e': 0.7384685587295879}",25,0,-62.832818124965264,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
149,False,"{'a': 0.8, 'e': 0.7350879023813413}",25,0,-165.92939539057497,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
150,False,"{'a': 0.8, 'e': 0.7316888688738209}",20,0,-36.1306667044547,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
151,False,"{'a': 0.8, 'e': 0.7282715431826874}",25,0,-28.32428135206598,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
152,False,"{'a': 0.8, 'e': 0.7248360107409052}",30,0,-37.395642164716655,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
153,False,"{'a': 0.8, 'e': 0.7213823574366063}",25,18,-0.7170556990072581,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.8, 'e': 0.7179106696109434}",20,0,-206.5269047873191,"{0: 10, 1: 2, 2: 1, 3: 4, 4: 3}",0
155,False,"{'a': 0.8, 'e': 0.7144210340559314}",20,14,-5.843094120678803,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.8, 'e': 0.7109135380122773}",25,0,-152.07393653174069,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
157,False,"{'a': 0.8, 'e': 0.7073882691671998}",20,1,-36.17020834186412,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.7038453156522362}",20,0,-142.92172045259582,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
159,False,"{'a': 0.8, 'e': 0.7002847660410397}",20,6,-15.077277050031412,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.6967067093471655}",25,10,-25.267338760707677,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.6931112350218442}",25,0,-13.553690089173971,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
162,False,"{'a': 0.8, 'e': 0.6894984329517471}",20,0,6.896329459309495,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.8, 'e': 0.6858683934567373}",20,0,-46.131886889199365,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
164,False,"{'a': 0.8, 'e': 0.6822212072876136}",20,5,-40.551362776344966,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.8, 'e': 0.6785569656238399}",20,0,-67.07174603509353,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
166,False,"{'a': 0.8, 'e': 0.6748757600712672}",20,11,1.8424696238894287,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.6711776826598423}",20,9,11.427461121643454,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.6674628258413082}",30,0,-31.34370541623946,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
169,False,"{'a': 0.8, 'e': 0.6637312824868916}",20,16,5.016917511505602,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8, 'e': 0.6599831458849822}",25,0,-95.35215499844892,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
171,False,"{'a': 0.8, 'e': 0.6562185097387998}",20,0,-33.73501162123265,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
172,False,"{'a': 0.8, 'e': 0.6524374681640519}",20,0,-70.54331251549327,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
173,False,"{'a': 0.8, 'e': 0.648640115686581}",25,18,-29.045339991458228,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.8, 'e': 0.6448265472400012}",25,13,0.2891228325564885,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.6409968581633252}",30,0,-137.73953932653328,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
176,False,"{'a': 0.8, 'e': 0.6371511441985802}",20,0,-18.83795462272927,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
177,False,"{'a': 0.8, 'e': 0.6332895014884152}",25,4,-106.18712172702027,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 2}",1
178,False,"{'a': 0.8, 'e': 0.6294120265736969}",25,0,-131.56011932980363,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
179,False,"{'a': 0.8, 'e': 0.6255188163910961}",30,0,-27.615459691258106,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
180,False,"{'a': 0.8, 'e': 0.6216099682706645}",20,0,-81.71322846711253,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
181,False,"{'a': 0.8, 'e': 0.6176855799334017}",25,0,-51.59957506678463,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
182,False,"{'a': 0.8, 'e': 0.6137457494888116}",20,0,22.99658964533967,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
